词语	义项描述	语料
当	对着，向着	木兰[当]户织。
当	符合	稍涉时趋者不出诸口，启沃至多。揆诸谥法，足[当]‘正’字而无愧，特谥文正。又见其门庭卑隘，清寒之况，不减儒素。
当	抵得上	使彼罢弊先弱守于主,必一而[当]十,十而[当]百,百而[当]千。
当	必定，一定	叔父淑雅重之，语子弟曰：“我门不乏贤，湣孙必[当]复为三公。”或有欲与顗婚，顗父洵曰：“顗不堪，政可与湣孙婚耳。
当	对着，向着	文武殊用，匡危拯难，则霸德攸兴；化人成俗，则王道斯贵。时[当]拨乱，屠贩可以登朝；世属隆平，经术然后升仕。丰都爰肇，
当	判决，判罪	异与客语，客语初令下有不便者，异不应，微反唇。汤奏[当]异九卿见令不便，不入言而腹诽，论死。自是之後，
当	当值	行人子朱曰：“朱也[当]御。”
道	道路，取道	穆帝升平中，童兒辈忽歌于[道]曰《阿子闻》，曲终辄云“阿子汝闻不”？无几而帝崩，
道	途径，方法	七星七星，一名天都，主衣裳文绣，又主急兵盗贼。故星明王[道]昌；暗则贤良不处，天下空。
道	道路，取道	蜀刘备章武二年，东伐。二月，自秭归进屯夷[道]。六月，秭归有黄气见，长十余里，广数十丈。后逾旬，
道	途径，方法	说曰：水，北方，终藏万物者也。其于人[道]，命终而形藏，精神放越。圣人为之宗庙，以收魂气，春秋祭祀，以终孝[道]。
道	道路，取道	孙亮建兴元年十二月丙申，大风震电。是岁，魏遣大众三[道]来攻，诸葛恪破其东兴军，二军亦退。明年，恪又攻新城，丧众太半，
道	途径，方法	太安二年八月庚午，天中裂为二，有声如雷者三。君[道]亏而臣下专僭之象也。是日，长沙王奉帝出距成都、河间二王，
道	道义	综而为言，凡有三术。其一曰，君治以[道]，臣辅克忠，万物咸遂其性，则和气应，休征效，国以安。二曰，君违其道，小人在位，
道	道义	...液云行去奥香下溉喉咙神明通五色云气纷青葱七玄英华开命门过此守[道]诚独难日月之华救老残 心精意专内不倾治荡发齿炼正方坐
道	政治主张或思想体系	[道]不同不相为谋
道	说，讲，具备，料想	[道]个一声儿恶人回避，早激的他恶哏哏闹是非，那里也见财起意。
道	宇宙万物的本源	[道]生之，德畜之，物形之，势成之
道	道家，道教	安居同僧夏，清夜讽[道]言
道	道理，规律	案刘向说，“山，阳，君也。水，阴，百姓也。天戒若曰，君[道]崩坏，百姓将失其所与”！春秋梁山崩，汉齐、楚众山发水，同事也。
道	道义	邦有[道]不能有为，邦无道不能独善，而但知食禄，皆可耻也。宪之狷介，其于邦无道谷之可耻，固知之矣；
道	好的政治措施或政治局面	邦有[道]则仕
道	说，讲，具备，料想	碑版有残铭。 太古共今时，由来互（一作同）哀荣。伤哉何足[道]，感激仰空名。 赵俗爱长剑，文儒少逢迎。闲从博陵（一作徒）游，
道	道家，道教	北邻有幽竹，潜筠穿我庐。往来地已密，心乐[道]者居。 残花回往节，轻条荫夏初。闻钟北窗起，啸傲永日余。
道	道理，规律	陛下询访理[道]，开纳直言，实天下之幸，岂臣等之幸！”
道	说，讲，具备，料想	兵连祸结，财尽力竭，西戎、北狄乘间窥窬，其为忧患可胜[道]哉！
道	道理，规律	不有明王之诛，则有篡杀之祸，故有下人伐上之痾。凡君[道]伤者，病天气。不言五行沴天，而曰“日月乱行，星辰逆行”者，
道	古代行政区划名	分天下为十[道]
道	道术，神仙术	光和中，北海王和平亦好[道]术，自以当仙。
道	道家，道教	寒知龙蛇穴。 情虚澹泊生，境寂尘妄灭。经世岂非[道]，无为厌车（一作归）辙。
道	佛教或佛教徒	前件天女，粗知佛法，深有[道]心，他家愿效殷勤，亦望慈悲驱使。
道	路程，行程	日夜不处，倍[道]兼行
道	引导，后来写作“导”	申命和仲，居西土，曰昧谷。敬[道]日入，便程西成。夜中，星虚，以正中秋。其民夷易，鸟兽毛¤。
道	水流通行的途径	水[道]不可，吴子辞，乃还。
道	引导，后来写作“导”	顺昊天，数法日月星辰，敬授民时。分命羲仲，居郁夷，曰阳谷。敬[道]日出，便程东作。日中，星鸟，以殷中春。其民析，鸟兽字微。申命羲叔，居南交。
道	泛指各种通路	四肢不通六[道]不达曰失
道	用于长条形的事物	一[道]月光横枕前
道	技艺，技巧	以琴[道]授羊景之
道	引导，后来写作“导”	於是卒塞瓠子，筑宫其上，名曰宣房宫。而[道]河北行二渠，复禹旧迹，而梁、楚之地复宁，无水灾。
得	得到，获得	此诚习战非为剧，岂若安坐行良图。当今忠臣不可[得]
得	得到，获得	（普掾我先生）。（冤气终不散），（嘉言徒擅名）。 闲曹犹[得]醉，薄俸亦胜耕。莫问吟诗石，年年芳草平。
得	得到，获得	(小生)若[得]公公如此，就是重生父母。不敢动问公公上姓？老夫与你同姓。秀才，你随我来。这里已是了，你可在此暂住。(小生)多感公公，
得	用在动词或形容词后面,连接表示程度或结果的补语	(小生)谢[得]婆婆留我身，房钱逐月要还清。惟有感恩并积恨。
得	能，能够	波移彭蠡月，树没汉陵人。试吏曾趋府，旌幢自可（一作易[得]）亲.。
得	收获	不如自行搜觅，冀有万一之[得]。
得	收获	才子醉更逸，一吟倾一觞。支颐忍有[得]，摇笔便成章。 王粲实可重，祢衡争不狂。何时应会面，
得	能，能够	曾子曰：‘戒之戒之！出乎尔者，反乎尔者也。’夫民今而后[得]反之也。君无尤焉。几，上声。夫，音扶。转，饥饿辗转而死也。充，
得	能，能够	船迟又被打头风。我孙荣被哥哥赶逐出来，无处安身，只[得]借此店中投宿，只因欠了房钱，将我衣服头巾。尽都剥去。苦嗄！千死万死，终
得	恰当，得当	此言[得]之。
得	用在动词或形容词后面,连接表示程度或结果的补语	倒拽横拖，身不自由。衣服准房钱，胡乱可受。休[得]迟延，吃吾脚手。
得	得意，满足	高节何曾似任官，药苗香洁备常餐。一分酒户添犹（一作应）[得]，五字诗名隐即难。 笑我无媒生鹤发，
得	必须，应该	故园（一作林）终不住，剑鹤在扁舟。尽室无余俸，还家[得]白头。 钟催吴岫晓（一作晚），月绕（一作照）渭河流。
得	用在动词或形容词后面,连接表示程度或结果的补语	好苦嗄！看这雪越下[得]大了。孙荣待入城中，叩谒豪家，又恐撞着我那哥哥的相识，却不辱没了我哥哥的面皮？待转归家哀求嫂嫂，
得	收获	侯景长驱十万人，可怜梁武坐蒙尘。生前不[得]空王力，徒向金田自舍身。
得	适合	聚精会神，相[得]益彰。
得	必须，应该	君为我呼入，吾[得]兄事之。
得	得意，满足	马厌谷兮，士不厌糠¤。土被文绣兮，士无短（一作¤）褐。 彼其[得]志兮，不我虞。一朝失志兮，其何如。 已焉哉，嗟嗟乎鄙夫。
得	恰当，得当	你如何割舍便去？教卑人如何是[得]？
得	恰当，得当	岂无眷恋之意？奈堂上父母力勉，不听分剖之辞，教卑人如何是[得]？我多猜着你了：
得	同“德”，恩惠，感恩	所识穷乏者[得]我欤。
得	得意，满足	意气扬扬，甚自[得]也。
度	其他专名	当日就差押番，去临安府僧录司讨一道[度]牒
度	通“渡”，渡过，越过	[度]河，船人见其美丈夫
度	通“渡”，渡过，越过	[度]虖沱河，至下博城西
度	通“渡”，渡过，越过	[度]淮击楚，楚王交走入薛。
度	衡量，计算	[度]其功勞，論其慶賞
度	衡量，计算	[度]於大小，谋於众寡
度	按一定计量标准划分的单位	《大统历》法即用《授时》，特改太阴行[度]耳。
度	法制，法度	《诗》曰：“慎尔侯[度]，用戒不虞。”
度	限度，限额	巴陵均折[度]支，依旧兵运。
度	按一定计量标准划分的单位	北方玄武三十五星九十八[度]
度	限度，限额	彼将处乎不深之[度]
度	法制，法度	扁善之[度]──以治氣養生，則後彭祖；以修身自強，則配堯禹。
度	法制，法度	便下服[度]，杜人淫邪，绝人觊觎
度	通“镀”，以金属附着到别的金属或物体表面	不得以金银为箔,马乘具不得金银[度]，
度	按一定计量标准划分的单位	不应于北方星[度]独言四分[度]之一也
度	估计，推测	不欲下之不忠于我，则必以此[度]上之心
度	限度，限额	朝廷神谟，欲必致休于步[度]之中
度	估计，推测	此乃吾子自以己意揣[度]鄙见而为是说
度	估计，推测	刺史[度]尚惧盘先言，怖畏罪戾，伏奏见诬。
度	人名	赐番僧万行清修真如自在广善普慈宏[度]妙应掌教翊国正觉大济法王
度	计量长短的标准和器具	打结之后，依还原[度]，此丝本质自具之妙也。
度	计量长短的标准和器具	凡律[度]量衡用铜者，名自名也，所以同天下，齐风俗也。
度	衡量，计算	夫[度]田非益寡，而计民未加益。
度	计量长短的标准和器具	更克画，平斗斛[度]量文章，布之天下，以树秦之名。
度	超度，宗教说法,使死者灵魂得以脱离地狱诸苦难	国师已经超[度]他白眼转为黑眼，受用不尽。
度	超度，宗教说法,使死者灵魂得以脱离地狱诸苦难	赫赫三事，力虽此毕，非（吾）〔我〕所[度]，退其罔日。
度	胸襟，器度	豁达大[度]，汉祖之德
度	僧尼道士劝人离俗出家	将乙侍者剃[度]为僧
度	胸襟，器度	宽惠仁厚，沈深有[度]量。
度	僧尼道士劝人离俗出家	来[度]世上淫欲之辈，归于正道。
度	胸襟，器度	理宗无君人之才，而犹有君人之[度]。
度	次，回	岐王宅里寻常见，崔九堂前几[度]闻。
度	僧尼道士劝人离俗出家	我见他作得好诗，就剃[度]他为门僧，法号可常。
度	次，回	昔日繁华人羡我，一年一[度]易蹉跎。
度	谱写（乐曲）	予怀怆然，感慨今昔，因自[度]此曲。
短	"短，与""长""相对"	[短]兵方接，所从骑士退，思恩为拔所杀。
短	"短，与""长""相对"	[短]兵始交，周人大溃。
短	"短，与""长""相对"	[短]兵相拒，犹经二日。
短	过错	便不问长[短]
短	浅薄,简陋	臣本庸才，智力浅[短]。
短	浅薄,简陋	臣智虑浅[短]，以为其事当如是
短	不足，缺少	弟光远疏其[短]于言路，如渊时为中丞，再论光世不可遣而止。
短	缺点，短处	忿必见[短]，知其材，益难也。
短	不足，缺少	该卖多少银子，我们不能[短]少你的。
短	缺点，短处	高德正妄说卿[短]，而荐主书郭敬，朕已杀之。
短	缺点，短处	归彦密构其[短]，奏岳造城南大宅，僭拟为永巷，但无阙耳。
短	不足，缺少	华垂丹篆，刑名长[短]，儒墨是非
短	浅薄,简陋	会形貌[短]陋，奴仆之下者
短	过错	礼乐攻吾[短],山林引兴长。
短	诋毁，说别人的坏话，指出别人的过失	令尹子兰闻之，大怒，卒使上官大夫[短]屈原于顷襄王。
短	诋毁，说别人的坏话，指出别人的过失	乃共訾其迹损[短]之，因度辞位
短	缩短	齐宣王欲[短]丧。
短	诋毁，说别人的坏话，指出别人的过失	先生留我，为何要你打[短]?
多	"数量大，与""寡""或""少""相对"	[多]伐材竹，沈于檀溪
多	指某种程度	[多]蒙列位师兄抬举，今日得握兵权，皆众师兄之赐也
多	"数量大，与""寡""或""少""相对"	[多]态度，足风标。
多	大都，大多	[多]闻而志之，知之次也。
多	大都，大多	[多]言夸严，莫大於此矣。
多	"数量大，与""寡""或""少""相对"	[多]映戏蝶寻香住，少有行人辍棹攀。
多	指某种程度	被夏邑上下兵丁刮刷了二百[多]两，所以只有此数。
多	超出原有或应有的数目，比原来的数目有所增加（跟“少”相对）	不问什么事情，专要这般的[多]管闲事。
多	大都，大多	不与下共，谓人主[多]聚敛也。
多	超出原有或应有的数目，比原来的数目有所增加（跟“少”相对）	蔡公！勿[多]言。
多	赞扬，看重	当是时，诸公皆[多]季布能摧刚为柔，朱家亦以此名闻当世。
多	超出原有或应有的数目，比原来的数目有所增加（跟“少”相对）	工商衡牧，似[多]须者，若少私寡欲，充命则足。
多	胜过，超过	交错锋起，[多]於春秋所书。
多	指某种程度	琉璃堆可掬，琴瑟饶[多]欢。
多	通“祗”，只，仅仅	人虽欲自绝，其何伤于日月乎？[多]见其不知量也。
多	胜过，超过	想他才似相如，貌[多]王粲。
多	胜过，超过	自汉兴以至于今，旷世历年，[多]於春秋
发	打开，拆毁	[发]仓廪以振贫穷，补不足
发	派遣	[发]吏攻，败亡走
发	发布，宣告	[发]令往白龙调平无累、铁柱
发	派遣	[发]闾左谪戍渔阳九百人
发	抒发，发泄	[发]其志士之悲哉。
发	发布，宣告	[发]十策，弘不得一。
发	派遣	[发]使遗诸侯书曰
发	发布，宣告	榜[发]，会元则朱锦也。
发	头发	奔母之丧，不括[发]
发	说	别转头去，低头向壁不[发]一言。
发	揭发，揭露	博辩广大危其身者，[发]人之恶者也。
发	征调，征集	不待[发]於远县，而临淄之卒固已二十一万矣。
发	启发	不愤不启，不悱不[发]。
发	发兵，进攻	不一年，陈胜吴广[发]矣。
发	打开，拆毁	成有子九岁，窥父不在，窃[发]盆。
发	送出，交付，与“收”相对，发出	澄弟十一月十九日所[发]的信
发	发生，生长	初作难，[发]於陈涉
发	揭发，揭露	戴私其邻妇，邻人闻之而不肯[发]，思掩执之。
发	打发，使离去	到了黄昏，打[发]七员总兵先回营帐
发	产生	东南风助暖，则尽[发]炎火，大坏苗穗，此一灾也。
发	发生，生长	而大声[发]于水上。
发	出发，上路	而汉俗屯戍从军当[发]者，其老亲岂有不自脱温厚肥美以¤送饮食行戍乎？
发	发生，生长	而鸡齐鸣，遂[发]传出。
发	发射，发出	番众万弩齐[发]，箭如雨点。
发	发兵，进攻	非先[发]制人，断不能洗刷清白。
发	头发	凤姐也摔了，一面止了哭挽头[发]
发	出发，上路	夫汉王[发]蜀汉，定三秦
发	抒发，发泄	夫啾[发]投曲，感耳之声，合之律度
发	送出，交付，与“收”相对，发出	高祖且至楚，信欲[发]兵反，自度无罪，欲谒上，恐见禽。
发	箭的单位，计量箭的枚数，相当于“支”	弓一张，矢四[发]。
发	头发	公见夫被[发]童子乎？
发	发射，发出	忽闻梆[发]，灯火齐明，箭如雨点，军士多被射伤。
发	发兵，进攻	淮南王患之，欲[发]
发	打开，拆毁	会人有盗[发]孝文园瘗钱，丞相青翟朝，与汤约俱谢
发	说	及叱秦王左右，势不过诛，然士或怯懦而不敢[发]。
发	败露	及淮南事[发]，治党与颇及江都王建。
发	疾病发作	见而去，其[发]疾，虽胜无功。
发	送出，交付，与“收”相对，发出	接弟弟们十二月十二月十五日所[发]的信
发	出发，上路	今大行未[发]，丧礼未终，岂宜以此事干丞相哉！
发	产生	金龙力敌四猛，工夫一大，觉着虎口[发]酸。
发	说	景公老，恶言嗣事，又爱荼母，欲立之，惮[发]之口
发	疾病发作	景公退穰苴，苴[发]疾而死。
发	开发	骏[发]尔私，终三十里。
发	发射，发出	李孝业暗[发]一箭，射中屈浮鲁面门，翻身落马
发	征调，征集	令齐人水工徐伯表，悉[发]卒数万人穿漕渠
发	产生	明年田有粪肥，土脉[发]烧
发	“发发”，形容疾风或鱼跃的声音	南山烈烈,飘风[发][发]。
发	抒发，发泄	其俗剽轻，易[发]怒，地薄，寡於积聚。
发	发现，呈现	秋八月，吏有罪未[发]觉者，赦之。
发	征调，征集	然後[发]天下丁男以守北河。
发	发布，发表	少君资好方，善为巧[发]奇中。
发	败露	事[发]觉，公卿有司请行罚诛。
发	花开放	素色不同篱下[发]，繁花疑自月中生。
发	花开放	扬翠叶，杌紫茎，[发]红华，秀朱荣
发	疾病发作	羊酒虽好，只是心疼病[发]，吃不得，免劳免劳！
发	发现，呈现	郢人昆弟复上书具言定国阴事，以此[发]觉。
发	花开放	早霍地、小园花[发]。
发	打发，使离去	只用说’没钱’两个字，打[发]的他远远的
方	才，始	[方]出城门，只见一人在马前长揖曰
方	正好，正当	[方]春，农桑兴，百姓戮力自尽之时也，故是月劳农劝民，无使后时。
方	正好，正当	[方]春和时，草木群生之物皆有以自乐
方	将要	[方]待教媒人到孙家去说，恰好裴九老也教媒人来说要娶慧娘。
方	方正(人行为，品性正直无邪)，正直	[方]而不割，廉而不刿。
方	地区，地方	[方]国诸王，莫不遣信奉献，以表归德之诚。
方	周遍	[方]行天下，至于海表
方	才，始	[方]欢喜道：“好了，好了。若在内河里，几时能挣得出来？”
方	正好，正当	[方]急时，不及召下兵，以故荆轲乃逐秦王。
方	才，始	[方]可一沟而下！
方	古代计算面积的术语	[方]六七十，如五六十
方	违抗	[方]命虐民，饮食若流
方	违抗	[方]命虐民，饮食若流
方	古代计算面积的术语	[方]宅十余亩，草屋八九间。
方	比拟	[方]之今臣，实难多得。
方	地区，地方	阿弥陀佛！我是十[方]抄化来的布施，要修理佛殿的
方	地区，地方	北[方]当受灾。
方	方形	碧眼[方]瞳，服食造长生之境。
方	方法	扁鹊行[方]，不能愈病。
方	方面	不足以亢一[方]之任
方	方正(人行为，品性正直无邪)，正直	谄谀日近，[方]正日远，则邪人专国政。
方	方法	陈抟与之剖晰微理，因见其颜如红玉，亦问以导养之[方]。
方	方向，方位(方向位置)	此则尊卑[方]色，阴阳众义暢矣。
方	方向，方位(方向位置)	东[方]西[方]各三检。
方	并列，并行	纷湛湛其差错兮，杂遝胶輵以[方]驰。
方	机构名	故不加械，即若系尚[方]，于事为苦。
方	方形	故观其志意，为度数，乃以揣说图事，尽圆[方]，齐短长。
方	方向，方位(方向位置)	挂席奔浪中，辨[方]竟茫昧。
方	品类，类别	后世宗诏显撰药[方]三十五卷，班布天下
方	方法	缓急去来之用，持平赴救之[方]
方	指谷生未结实	既[方]既皂，既坚既好，不稂不莠
方	指谷生未结实	既[方]既皂，既坚既好，不稂不莠
方	适宜，等同	今者，齐、韩相[方]，而国围攻焉，岂有敢曰我其以三万救是者乎哉?
方	将要	今治水军八十万众，[方]与将军会猎于吴。
方	并船，也指竹木编成的筏	就其深矣，[方]之舟之。
方	方形	据坤灵之正位，放泰、紫之圆[方]。
方	方正(人行为，品性正直无邪)，正直	堪性公[方]，自见孤立，遂直道而不曲。
方	药方，单方	客闻之，请买其[方]百金。
方	古代计算面积的术语	茅田一顷中有井，四[方]纤纤不可整。
方	将要	缪公自往求之，见野人[方]将食之於岐山之阳。
方	祭名，指四方之祭	祈[方]社兮不莫，荐圭璧兮孔虔。
方	祭名，指四方之祭	祈[方]社兮不莫，荐圭璧兮孔虔。
方	祭名，指四方之祭	祈年孔夙，[方]社不莫，昊天上帝，则不我虞
方	地名	侵镐及[方]，至于泾阳。
方	地名	侵镐及[方]，至于泾阳。
方	品类，类别	室家遂宗，食多[方]些。
方	并列，并行	蜀汉之粟，[方]船而下。
方	占有	维鹊有巢，维鸠[方]之。
方	古代用以书写的木板	文武之道，布在[方]策
方	规律，道理	吾长见笑于大[方]之家。
方	占有	西南夷传有越嶲、昆明国，有滇池，[方]三百里。
方	占有	县大率[方]百里
方	一并	小民[方]兴，相为仇敌
方	方良，魍魉，叠韵连绵字，传说中的山精鬼怪名	玄武扫孤蜮，蛟龙除[方]良
方	方良，魍魉，叠韵连绵字，传说中的山精鬼怪名	玄武扫孤蜮，蛟龙除[方]良
方	规律，道理	宜在容养，录善掩瑕，训尽义[方]，进退以渐。
方	比拟	则三古以还年代[方]之，犹瀼渴之水，比诸大江。
非	无，没有	（杞木为者，防地湿，则速朽。）此三木者脉理循环结长，[非]有纵直文。故竭力挥椎，实尖其中，而两头无璺拆之患，
非	不是，不	[非]我有周秉德不康宁，乃惟尔自速辜！”
非	不是，不	“故为大王计，莫如为秦。秦之所欲莫如弱楚，而能弱楚者如韩。[非]以韩能强於楚也，其地势然也。今王西面而事秦以攻楚，秦王必喜。
非	不是，不	“且天下[非]小弱也；雍州之地，¤函之固自若也。陈涉之位，[非]尊於齐、楚、燕、赵、韩、魏、宋、卫、中山之君也；适戍之众，[非]俦於九国之师也；深谋远虑，行军用兵之道，[非]及乡时之士也。然而成败异变，功业相反也。
非	不真实，不正	」晋灼曰：「廑，无几也。」师古曰：「二说皆[非]也。廑，古以为勤字。言贾从军，有勤劳也。」
非	违，违背	傲主人，[非]礼也;以贵骄人，[非]道也。
非	无，没有	北面为臣，心常鞅鞅，今乃事少主，[非]尽族是，天下不安。」以故不发丧。人或闻，以语郦商。
非	过失，错误	必无响应之助矣。故曰“安民可与行义，而危民易与为[非]”，此之谓也。贵为天子，富有天下，身不免於戮杀者，正倾[非]也。是二世之过也。
非	过失，错误	变不出来，谁说白吃！”  一个做公的，便倚着酒势，要来寻[非]，走起来道：“不信没有，待我去搜看！”  望着内里便走，
非	无，没有	兵法不曰‘陷之死地而後生，置之亡地而後存’？且信[非]得素拊循士大夫也，此所谓‘驱市人而战之’，其势[非]置之死地，使人人自为战；今予之生地，皆走，宁尚可得而用之乎！”诸将皆服曰：“善。[非]臣所及也。”
非	通“诽”(fěi)，诽谤，诋毁	此山谷之士，[非]世之人，枯槁赴渊者之所好也。
非	用于疑问句末，表示是非问，相当于“否”	此言与实反者[非]？
非	不真实，不正	而今之读者谓与射同，乃引地名射阳其字作贳以为证验，此说[非]也。假令地名为射，自是假借，亦犹鮦阳音纣，莲勺音酌，当时所呼，
非	违，违背	高正之甥也，正密告之，瑜力谏不从。瑜遂[非]时上变。上览伪诏震怒，立捕杨养子斩之，命急捕贼，尽得之，
非	责怪，非难，反对	古者虽有文事，必有武备，[非]巢之不饰城而请罪，[非]吴子之自轻也。
非	通“诽”(fěi)，诽谤，诋毁	故诟莫大於卑贱，而悲莫甚於穷困。久处卑贱之位，困苦之地，[非]世而恶利，自托於无为，此[非]士之情也。故斯将西说秦王矣。”
非	不真实，不正	後居陶，故曰陶唐也。」师古曰：「三家之说皆[非]也。许慎说文解字云：『陶，丘再成也，在济阴。夏书曰东至陶丘。
非	过失，错误	疽发于背，每叹为小子所卖，盖追悔当年附会大礼之[非]，终见辱于张永嘉也。世宗末年，严分宜被逐家居，世藩遣戍，
非	责怪，非难，反对	私田稼不善则[非]吏。
非	违，违背	王若曰：“诰告尔多方，[非]天庸释有夏，[非]天庸释有殷。
复	又，再，中断再开始	...]谶决之，何如？”谭默然良久，曰：“臣不读谶。”帝问其故，谭[复]极言谶之非经。帝大怒曰：“桓谭非圣无法，将下斩之。”
复	“复”，走老路	[复]，行故道也。
复	恢复	[复]为侍中，守秘书监，领太子詹事。未拜，
复	恢复	[复]五年，更为大将军，南征。”延熹元年，绲出为辽东太守，讨鲜卑，至五年，[复]拜车骑将军，击武陵蛮贼，皆如占。其余多此类云。
复	"通""覆""，覆盖，倾覆，翻过去，考求"	[复]之以掌，虚若无物。
复	又，再，中断再开始	“大王事秦，秦必求宜阳、成皋。今兹效之，明年又[复]求割地。与则无地以给之，不与则弃前功而受後祸。
复	又，再，中断再开始	“翁年老”，群公有期颐之庆，知妖逆之徒自然消殄也。其时[复]有谣言曰；“卢橙橙，逐水流，东风忽如起，那得入石头！”
复	恢复	波率众八千救之，以敌强不敢进，序竟陷没。波以畏懦免官。后[复]以波为冠军将军，累迁散骑常侍。
复	重复，繁复	朝士毕贺，皆连榻而坐。琇与裴楷后至，曰：“杜元凯乃[复]以连榻而坐客邪？”遂不坐而去。
复	回答	成了亲事，他日儿子自有分晓也。”韩生只得把此意回[复]了黄翁，一凭黄翁主张。黄翁先叫鹤龄认了父亲，
复	夹层的	醔消不至，语意重[复]，疑当依袁宏纪作“醔沴不至”。又按：袁宏纪引张衡此疏多异文，
复	报复	错行此兵矣！原是叔段不义，以致丧身，发兵代滑[复]仇，则是助桀为虐矣！大不可矣！”遂差使星夜追回三军，修书回报。
复	报复	大叫言曰：“汝纵有拔山之力，过天之势，今日定欲拿汝，以[复]王寻之仇！”马武大喜，纵马提刀，直取邳彤。二人交锋，
复	“複”，重衣，夹衣	冬无复襦，夏无单衣。
复	重复，繁复	而猖狂于时，妄自尊立，固义夫之所扼腕，人鬼之所同疾。虽[复]恭俭节用，而犹必覆亡不暇，而评但云“奢淫不终”，未足见其大恶。
复	报复	而为中国盟主，誓墨未干，便欲动甲兵，臣窃以为军马未动诸侯[复]叛矣！”众视之，乃齐国下大夫庆封也！
复	回答	孤凄一样昏黄月，肯许相携诉寸心？娇鸾看罢，即时[复]书，前写”虎衙爱女娇鸾拜稿”：
复	土窟	古者复穴，是以名室为霤。
复	回答	河南府内自首。符令公出厅，贵人[复]道：“告令公，郭威杀了欺压良善之贼，特来请罪。”
复	夹层的	红罗[复]斗帐，四角垂香囊。
复	“復”，返回，回来	后说汉寨赵云心闷，使人赶诸葛、关公二人[复]回。军师入寨，不见皇叔。赵云对军师说张飞之过。军师有意斩张飞。
复	免除赋税徭役	嘉与士大夫更始，赐民百户牛一酒十石，加年八十孤寡布帛二匹。[复]博、奉高、蛇丘、历城，无出今年租税。其大赦天下，如乙卯赦令。行所过毋有[复]作。事在二年前，皆勿听治。”又下诏曰：“古者天子五载一巡狩，
复	“復”，返回，回来	虑时务者不能兴其德，为身求者不能成其功。去而归家，[复]羇旅于州郡，身愈据职，家弥穷困，卒离饥寒之灾，有丧元子之祸。
复	免除赋税徭役	庙号始祖，母罗氏为太后。加范长生为天地太师，封西山侯，[复]其部曲不豫军征，租税一入其家。雄时建国草创，素无法式，
复	"通""覆""，覆盖，倾覆，翻过去，考求"	那和尚见人睡静，方灭了火，解衣与闻人生同睡。却自翻来[复]去，睡不安稳，只自叹气。见闻人生已睡熟，
复	"通""覆""，覆盖，倾覆，翻过去，考求"	那和尚见人睡静，方灭了火，解衣与闻人生同睡。却自翻来[复]去，睡不安稳，只自叹气。见闻人生已睡熟，
复	免除赋税徭役	沛幸得[复]，丰未得[复]。
复	“復”，返回，回来	人以鸩酒赐死。翰曰：“吾负罪出奔，既而[复]还，死已晚矣。然羯贼跨据中原，吾不自量，欲为国家荡一区夏，
复	重复，繁复	山重水[复]疑无路，柳暗花明又一村。
复	夹层的	小敛，君大夫士皆用[复]衣[复]衾； 敛，君大夫士祭服无算，君褶衣褶衾，大夫士犹小敛也。
负	辜负，对不起人	...]侍韂守空宫，绂玺委女妾，设有非常之变，任章之谋，上[负]先帝，下悔靡及。臣奕世受恩，得备纳言，
负	丧服披在背上的一块布	[负]广于适寸
负	用背驮东西	」然楼兰国最在东垂，近汉，当白龙堆，乏水草，常主发导，[负]水儋粮，送迎汉使，又数为吏卒所寇，惩艾不便与汉通。
负	遭受	败不可悔，时不可失。公孙鞅曰：‘有高人之行，[负]非于世；有独见之虑，见赘于人。’故信庸庸之论，
负	用背驮东西	颁白者不[负]戴于道路矣
负	背弃，违背	谤议沸腾，性不伤物，频致怨憎。昔惭柳惠，今愧孙登，内[负]宿心，外恧良朋。仰慕严、郑，乐道闲居，与世无营，神气晏如。
负	辜负，对不起人	北征匈奴，西开三十六国，以氈裘之遗孽，亡国之贱俘，[负]天地生全之恩，怀虎狼贪残之性。百姓频年服役，转输烦费。
负	用背驮东西	奔来奔去，早冻死了许多，饿死了许多，奔走了许多，驼[负]不起，铠甲与衣粮，委弃于道旁者，不可胜算。及回到德州，
负	失败	彼时海内称雄者渐广，与元互有胜[负]，不辨贤愚，死者甚众。上思之，设使胜[负]不分，互有得失，如斯久之，世无人矣。每闻幽有鬼神，
负	背倚，背靠着	俾旧阙之阳，复集万国之轸，东京父老，重睹司隶之章。俾朕[负]扆高拱，而保大洪烈。是用远鉴前典，延即群谋，敬授殊锡，
负	辜负，对不起人	陛下回受诽谤，致邕刑罪，室家徙放，老幼流离，岂不[负]忠臣哉！今髃臣皆以邕为戒，上畏不测之难，下惧客之害，
负	依恃，凭仗	并位卿相，大业定矣。然婴不知时变，夫亡术而不逊，蚡[负]贵而骄溢。凶德参会，待时而发，藉福区区其间，
负	背弃，违背	不可定于一概也。且札阖棺定谥，违逆党顺，受戮凶邪，不[负]忠义明矣。”鉴又驳不同，而朝廷竟从导议，追赠札卫尉，
负	失败	不说闻太师赞叹，且说陶荣战武吉，见诸将都未分胜[负]，忙把聚风幡取出，连摇数摇，霎时间飞砂走石，播土扬尘，
负	背弃，违背	不无赖而生矣。但恨大将军桓文之勋不遂，而兄一旦为逆节之臣，[负]先人平素之志，既没之日，何颜见诸父于黄泉，谒先帝于地下邪？
负	失败	不知彼而知己，一胜一[负]。
负	依恃，凭仗	朝廷荣之。至东京时，属少府，亦无员。驾出，则一人[负]传国玺，操斩蛇，参乘。舆中官俱止禁...
