爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
妣,[名]對已故母親的敬稱。如：「先妣」、「如喪考妣」。《說文解字．女部》：「妣，歿母也。」《禮記．曲禮下》：「生曰父、曰母、曰妻，死曰考、曰妣、曰嬪。」
鄙,[名]1.古代地方區域名稱。五百家為「鄙」。《說文解字．邑部》「鄙」字．清．段玉裁．注：「鄙，五百家也。」《周禮．地官．遂人》：「五家為鄰，五鄰為里，四里為酇，五酇為鄙。」2.邊遠地區。《左傳．僖公元年》：「既而大叔命西鄙、北鄙貳於己。」晉．杜預．注：「鄙，鄭邊邑。」唐．韓愈〈爭臣論〉：「行古人之道，居於晉之鄙。」3.郊外。《國語．齊語》：「參其國而伍其鄙。」三國吳．韋昭．注：「國，郊以內也。……鄙，郊以外。」[動]輕視、瞧不起。《左傳．宣公十四年》：「過我而不假道，鄙我也。」[形]1.粗俗、低賤。如：「卑鄙」、「鄙陋」。《左傳．莊公十年》：「肉食者鄙，未能遠謀。」《文選．張衡．東京賦》：「鄙哉予乎！習非而遂迷也。」《樂府詩集˙卷三八˙相和歌辭十三˙三國魏˙陳琳˙飲馬長城窟行》：「君今出語一何鄙！」2.自謙之詞。如：「鄙人」、「鄙見」。漢．劉向《古列女傳．卷六．趙津女娟》：「君欲殺之，妾願以鄙軀易父之死。」
庇,[動]1.遮蔽、掩蓋。如：「庇蔭」、「包庇」。《說文解字．广部》：「庇，蔭也。」唐．韓愈〈感春〉詩三首之一：「藤陰已可庇，落蕊還漫漫。」2.保護。如：「庇護」、「庇佑」。《文選．陸倕．石闕銘》：「克明俊德，大庇生民。」《文選．謝靈運．擬魏太子鄴中應瑒詩》：「晚節值眾賢，會同庇天宇。」
必,[副]1.一定、肯定。如：「未必」、「務必」、「言必信，行必果。」《左傳．隱公元年》：「多行不義必自斃，子姑待之！」唐．李白〈將進酒〉：「天生我材必有用，千金散盡還復來。」2.假設、如果。《論語．顏淵》：「必不得已而去，於斯三者何先？」《史記．卷八一．廉頗藺相如傳》：「王必無人，臣願奉璧往使。」[動]堅定、果決。《荀子．彊國》：「其刑罰重而信，其誅殺猛而必。」《韓非子．內儲說上》：「是以刑罰不必，則禁令不行。」[名]姓。宋代有必贊，明代有必沙。
柲,[名]古代兵器的柄，後亦指器物的柄。《說文解字．木部》：「柲，欑也。」清．段玉裁．注：「戈戟矛柄皆用積竹杖，不比他柄用木而已。……柲之引伸為凡柄之偁。」《周禮．冬官考工記．廬人》：「戈柲，六尺有六寸。」
毖,[動]1.謹慎。如：「懲前毖後」。《書經．畢命》：「毖殷頑民，遷于洛邑。」唐．孔穎達．正義：「惟殷頑民，恐其叛亂，故徒於洛邑。」2.辛勞。《書經．大誥》：「無毖于恤，不可不成。」唐．孔穎達．正義：「言無勞于征伐之憂也。」[形]泉水流動的樣子。《詩經．邶風．泉水》：「毖彼泉水，亦流于淇。」漢．鄭玄．箋：「泉水流而入淇。」《文選．左思．魏都賦》：「溫泉毖涌而自浪，華清蕩邪而難老。」
飶,[名]食物的香味。《說文解字．食部》：「飶，食之香也。」《詩經．周頌．載芟》：「有飶其香，邦家之光。」漢．毛亨．傳：「飶，芬香也。」
駜,[形]馬肥大而強壯。《詩經．魯頌．有駜》：「有駜有駜，駜彼乘黃。」漢．毛亨．傳：「駜，馬肥彊貌。」
畀,[動]1.賜與、給予。《詩經．小雅．巷伯》：「取彼譖人，投畀豺虎，豺虎不食。」《左傳．隱公三年》：「王崩，周人將畀虢公政。」2.酬答。《詩經．鄘風．干旄》：「彼姝者子，何以畀之。」
敝,[形]1.破的、舊的。如：「敝帚自珍」、「棄之如敝屣」。《論語．子罕》：「衣敝縕袍與衣狐貉者立，而不恥者，其由也與。」宋．錢公輔〈義田記〉：「昔晏平仲敝車羸馬，桓子曰：『是隱君之賜也。』」2.疲倦。同「疲」。如：「敝於奔命」。宋．司馬光〈赤壁之戰〉：「曹操之眾，遠來疲敝。」3.自謙之詞。用於對別人指稱和自己相關的事物。如：「敝校」、「敝姓」。《左傳．僖公二十六年》：「寡君聞君親舉玉趾，將辱于敝邑。」[動]1.失敗。《左傳．僖公十年》：「帝許我罰有罪矣，敝於韓。」晉．杜預．注：「敝，敗也。」2.毀壞。清．李文炤〈勤訓〉：「夫天地之化，日新則不敝。」
畢,[名]1.古代用以捕捉鳥、兔的長柄小網。《說文解字．&20992_.png;部》：「畢，田网也。」清．段玉裁．注：「謂田獵之网也。」《莊子．胠篋》：「夫弓弩畢弋機變之知多；則鳥亂於上矣。」2.簡札。《爾雅．釋器》：「簡謂之畢。」宋．邢昺．疏：「簡，竹簡也。古未有紙，載文於簡，謂之簡扎，一名畢。」《禮記．學記》：「今之教者，呻其佔畢，多其訊。」3.星宿名。二十八星宿之一，為西方白虎七宿的第五宿。4.星官名，畢宿之首，由八顆星組成，在西方屬金牛座。」《詩經．小雅．漸漸之石》：「月離于畢，俾滂沱矣。」漢．司馬相如〈長門賦〉：「觀眾星之行列兮，畢昴出於東方。 」5.姓。如宋代有畢昇，清代有畢沅。[動]1.用網捕捉。《詩經．小雅．鴛鴦》：「鴛鴦于飛，畢之羅之。」漢．毛亨．傳：「於其飛乃畢掩而羅之。」2.結束、終止。如：「今日事，今日畢。」《孟子．滕文公上》：「公事畢，然後敢治私事。」唐．元稹《鶯鶯傳》：「言畢，翩然而逝。」[副]全部、一齊。如：「原形畢露」、「群賢畢至」。唐．韓愈〈進學解〉：「方今聖賢相逢，治具畢張。」
煏,[動]方言。用火烘乾。《玉篇．火部》：「煏，火乾也。」《齊民要術．卷五．伐木》：「凡非時之木，水漚一月，或火煏取乾，蟲皆不生。」《佩文韻府．卷七一．隊韻》：「張鳳翼〈喜雨賦〉：『潤物優游不破塊兮，睠彼疆場靡煏焙兮。』」
辟,[名]君主。《書經．洪範》：「惟辟作福，惟辟作威，惟辟玉食。」[動]1.徵召。《後漢書．卷三五．鄭玄傳》：「靈帝末，黨禁解，大將軍何進聞而辟之。」《三國志．卷二一．魏書．王粲傳》：「太祖辟為丞相掾，賜爵關內侯。」2.驅除、屏除。如：「辟邪」。《楚辭．屈原．遠遊》：「風伯為余先驅兮，氛埃辟而清涼。」漢．王逸．注：「掃除之也。」明．陳繼儒《李公子傳》：「忽有執公子衣者曰：『願辟人，臣有所言，公子不憶於陵時乎？』」3.躲開、迴避。通「避」。《左傳．僖公二十八年》：「微楚之惠不及此，退三舍辟之，所以報也。」《禮記．儒行》：「儒有內稱不辟親，外舉不辟怨。」
嬖,[動]寵愛。《玉篇．女部》：「嬖，賤而獲幸者。」晉．王嘉《拾遺記》卷五：「初，帝深嬖李夫人。」唐．陳鴻《長恨傳》：「繇是治其容，敏其詞，婉變萬態，以中上意。上益嬖焉。」[名]舊時出身卑微而受寵幸的人。如：「便嬖」。《左傳．成公十七年》：「晉厲公侈，多外嬖。」晉．杜預．注：「外嬖，愛幸大夫。」《新唐書．卷八一．三宗諸子傳．章懷太子賢傳》：「守禮以外支為王，不甚才而多寵嬖。」[形]受到寵愛的。如：「嬖妾」、「嬖姬」、「嬖臣」。
璧,[名]1.古代一種玉器。扁平，圓形，中央有圓孔。《詩經．衛風．淇奧》：「有匪君子，如金如錫，如圭如璧。」《二刻拍案驚奇》卷一七：「詞人墨客得了此箋，猶如拱璧。」2.玉的通稱。如：「白璧無瑕」、「完璧歸趙」。《韓非子．解老》：「和氏之璧，不飾以五采；隋侯之珠，不飾以銀黃。」[動]餽贈不受，退還原物。如：「敬璧」、「璧還」。明．張居正〈答豫所呂相公〉：「使旋附候厚惠，不敢當，輒以璧諸使者，統惟鑒原。」[形]1.美好的。如：「璧人」。2.形圓如璧的。如：「璧日」、「璧月」。
髟,[形]形容毛髮垂披。《文選．潘岳．秋興賦》：「斑鬢髟以承弁兮，素髮颯以垂領。」[名]二一四部首之一。
編,[動]1.連結、交叉組織。如：「編髮」、「編草蓆」。《楚辭．屈原．九章．悲回風》：「糾思心以為纕兮，編愁苦以為膺。」宋．蕭立之〈送人之常德〉詩：「編蓬便結溪上宅，採桃為薪食桃實。」2.順次排列。如：「編列」、「編組」、「編排」、「編印」。《史記．卷八二．田單傳》：「（田單）與士卒分功，妻妾編於行伍之閒，盡散飲食饗士。」3.蒐集整理。如：「編書」、「新編」、「彙編」、「編字典」。唐．元稹〈樂府古題序〉：「而纂者，由詩傳而下十七名，盡編為樂錄。」4.創作。如：「編歌」、「編曲」、「編劇本」。5.捏造、用謊話騙人。如：「瞎編」、「編一套謊言。」《紅樓夢》第一九回：「我把你爛了嘴的，我就知道你是編我呢！」[名]1.貫串書籍的繩索。《史記．卷四七．孔子世家》：「讀《易》，韋編三絕。」2.古代書籍以簡牘編聯而成，所以書一冊稱為「一編」。如：「人手一編」。《漢書．卷四○．張良傳》：「出一編書。」唐．顏師古．注：「編謂聯次之也。聯簡牘以為書，故云：『一編』。」3.泛指書籍。如：「巨編大著」。唐．韓愈〈進學解〉：「口不絕吟於六藝之文，手不停披於百家之編。」4.量詞：(1) 計算書籍章節編目的單位。如：「《老殘遊記》共分三編。」(2) 計算同類型或相似的書籍分套成編的單位。如：「《四部叢刊》分初編、續編、三編。」5.姓。如東漢有編訢。
鞭,[動]以鞭子抽打。如：「鞭打」、「鞭屍」。《說文解字．革部》：「鞭，毆也。」《浮生六記．卷二．閒情記趣》：「神定，捉蝦蟆，鞭數十，驅之別院。」[名]1.一種皮製的長軟器具，用來驅使牲口或打人。如：「馬鞭」、「皮鞭」、「鞭長莫及」。也稱為「鞭子」。2.一種古代的兵器。以鐵打造，有節，無刀刃。如：「鋼鞭」、「竹節鞭」、「三棱鞭」。3.成串的爆竹。如：「鞭炮」。《兒女英雄傳》第二八回：「兩掛千頭百子旺鞭，放得震地價響。」4.指長條形類似鞭子的物品。如：「教鞭」。5.俗稱雄性動物的生殖器官。如：「牛鞭」、「鹿鞭」。元．關漢卿《裴度還帶》第四折：「今宵洞房花燭夜，試看狀元一條鞭。」
邊,[名]1.指兩國或兩地區的交界處或近交界處。如：「守邊」、「戍邊」、「墾邊」。2.兩旁。如：「河邊」、「路邊」、「岸邊」。3.四周、周圍。如：「桌邊」、「床邊」、「邊緣」。4.際限、盡頭。如：「苦海無邊，回頭是岸。」、「遠在天邊，近在眼前。」唐．杜甫〈登高〉詩：「無邊落木蕭蕭下，不盡長江袞袞來。」5.方向。如：「左邊」、「前邊」、「東邊」、「外邊」。6.物體或衣裙邊緣的裝飾。如：「鏡邊」、「滾邊」、「鑲邊」、「花邊」。7.頭緒。如：「說了半天，還摸不著邊兒。」8.幾何學中夾成角或構成多角形的線段，稱為「邊」。如：「等邊三角形」。9.量詞。計算物體邊側的單位。如：「三邊形」、「五邊形」。10. 姓。如東漢有邊韶，明代有邊維新。[副]1.偏、不正。《禮記．檀弓上》：「齊衰不以邊坐，大功不以服勤。」漢．鄭玄．注：「邊，偏倚。」2.表方位。相當於「裡」、「內」、「中」等字。唐．高適〈信安王幕府詩〉：「大漠風沙裡，長城雨雪邊。」宋．楊萬里〈新青讀樊川〉詩：「九千刻裡春長雨，萬點紅邊花又空。」3.一面。常用「邊……邊……」的語式表達。如：「邊做邊學」、「邊走邊吃」、「邊吃飯邊看電視」。
弁,[名]1.古代男子所戴的帽子。《文選．曹植．七啟》：「冠皮弁，被文裘。」《文選．顏延年．皇太子釋奠會作詩》：「肴乾酒澄，端服整弁。」2.古時候的一種低級軍官，或軍官的侍從。如：「武弁」、「馬弁」。《儒林外史》第三九回：「傳下將令，叫各弁在轅門聽候。」3.姓。如春秋時魯國有弁嚴子，明代有弁志中。[形]驚懼、害怕。《漢書．卷九九．王莽傳下》：「乃壬午餔時，有列風雷雨發屋折木之變，予甚弁焉！予甚栗焉！予甚恐焉！」唐．顏師古．注：「弁，疾也。一曰弁，撫手也，言驚懼也。」[動]1.置放。指放在前面或上面。清．龔自珍〈送徐鐵孫序〉：「乃書是言，以弁君之詩之耑。」2.以手搏擊。《漢書．卷七○．甘延壽傳》：「試弁，為期鬥，以材力愛幸。」顏師古注引孟康曰：「弁，手搏。」
釆,[動]分別、辨別。《說文解字．釆部》：「釆，辨別也。象獸指爪分別也。」今字作「辨」，古因形似而訛誤為「平」。[名]二一四部首之一。
變,[動]1.更改。如：「千變萬化」、「一成不變」。《史記．卷一二九．貨殖傳》：「乘扁舟浮於江湖，變名易姓。」2.移動。《禮記．檀弓上》：「夫子之病革矣，不可以變。」《文選．陸機．文賦》：「或虎變而獸擾，或龍見而鳥瀾。」[名]1.突發的動亂。《史記．卷九二．淮陰侯傳》：「善遇之，使自為守。不然，變生。」《宋史．卷四二一．李庭芝傳》：「庭芝聞變，赴蓮池，水淺不得死。」2.災異。《禮記．曾子問》：「丘止柩就道右，止哭以聽變。」《漢書．卷八一．張禹傳》：「上懼變異數見。」3.權術。隋．王通《文中子．卷七．述史》：「非君子不可與語變。」[形]奇特的、怪誕的。如：「變象」。《楚辭．屈原．九章．思美人》：「吾且儃佪以娛憂兮，觀南人之變態。」
賓,[名]1.客人。與「主」相對。如：「來賓」、「貴賓」、「喧賓奪主」、「賓至如歸」。《詩經．小雅．鹿鳴》：「我有嘉賓，鼓瑟吹笙。」南朝宋．鮑照〈代東門行〉：「離聲斷客情，賓御皆涕零。」2.姓。如春秋時齊國有賓須無。[動]1.以禮對待。《淮南子．氾論》：「乃矯鄭伯之命，犒以十二牛，賓秦師而卻之。」2.歸順、服從。《國語．楚語上》：「蠻、夷、戎、狄，其不賓也久矣。」《漢書．卷六八．霍光傳》：「百姓充實，四夷賓服。」
瀕,[名]水邊。《墨子．尚賢下》：「是故昔者舜耕於歷山，陶於河瀕。」《漢書．卷八九．龔遂傳》：「海瀕遐遠，不霑聖化。」[動]臨近、迫近。如：「瀕臨」、「瀕危」、「西瀕印度洋」。清．蔣士銓〈鳴機夜課圖記〉：「十二月，先府君即世，母哭瀕死者十餘次。」
并,[名]1.參見「并州」條。2.大陸地區山西省太原市的別稱。
兵,[名]1.武器。如：「秣馬厲兵」、「短兵相接」。《說文解字．廾部》：「兵，械也。」《周禮．夏官．司兵》：「掌五兵五盾，各辨其物與其等，以待軍事。」漢．鄭玄．注：「鄭司農云：『五兵者：戈、殳、戟、酋矛、夷矛。』」《孟子．梁惠王上》：「填然鼓之，兵刃既接，棄甲曳兵而走。」2.戰士、軍隊。如：「調兵遣將」、「按兵不動」、「精兵政策」。《戰國策．趙策三》：「秦攻趙於長平，大破之，引兵而歸。」《文選．江淹．雜體詩．盧中郎》：「信陵佩魏印，秦兵不敢出。」3.軍事、戰爭，或有關於軍事、戰爭的事情。如：「紙上談兵」、「談笑用兵」。《左傳．隱公三年》：「公子州吁，嬖人之子也，有寵而好兵。」三國魏．鍾會〈檄蜀文〉：「益州先主以命世英才，興兵新野。」4.專指軍隊中最基層的成員。如：「炮兵」、「騎兵」、「步兵」、「號兵」、「傳令兵」。
丙,[名]1.天干的第三位。2.用來排列次序等第，在甲、乙之後，表示第三。如：「丙班」、「丙等」。3.火的別稱。如火災稱為「付丙」。《淮南子．天文》：「其日丙丁。」漢．高誘．注：「丙丁，皆火也。」4.姓。如漢代有丙吉。
柄,[名]1.本指斧頭的把手處，後來凡器物上可執之處都稱為「柄」。如：「刀柄」、「傘柄」。2.量詞。計算有柄器物的單位。如：「一柄鋤碩」、「兩柄大刀」。3.植物葉片下方、花下方或子房下方以及蘭花花粉塊、真菌子實體下方似帶狀或柱狀的組織。如：「花柄」、「葉柄」。4.言語或行為可被人當作攻擊、要挾的事情，或作為取笑的話題。如：「把柄」、「話柄」、「笑柄」。5.根本。《國語．齊語》：「治國家不失其柄，弗若也。」唐．白居易〈與元九書〉：「五帝三皇所以直道而行，垂拱而理者，揭此以為大柄，決此以為大竇也。」6.權力。漢．班彪〈王命論〉：「故雖遭罹厄會，竊其權柄。」唐．韓愈〈謁衡嶽廟遂宿嶽寺題門樓〉詩：「火維地荒足妖怪，天假神柄專其雄。」[動]執掌、操持。如：「柄國」、「柄政」。
秉,[名]1.成把、成束的穀物。《說文解字．又部》：「秉，禾束也。」《詩經．小雅．甫田》：「彼有遺秉，此有滯穗。」梁．范縝〈神滅論〉：「豈不以僧有多稌之期，友無遺秉之報？」2.量詞。古代計算容量的單位。十六斛為「一秉」。《集韻．上聲．梗韻》：「秉，或曰粟十六斛為秉。」《論語．雍也》：「冉子與之粟五秉。」3.權柄。通「柄」。《管子．小匡》：「治國不失秉，臣不如也。」《史記．卷七九．范睢蔡澤傳》：「吾聞先生相李兌，曰『百日之內持國秉』，有之乎？」4.姓。如漢代有秉寬。[動]1.用手執握。《文選．古詩十九首．生年不滿百》：「晝短苦夜長，何不秉燭遊！」2.保持、堅持。唐．皇甫冉〈太常魏博士遠出賊庭江外相逢因敘其事〉詩：「秉節身常苦，求仁志不違。」元．劉時中〈端正好．眾生靈遭魔障套．三煞〉：「這相公主見宏深，秉心仁恕。」3.主持、掌握。《詩經．小雅．節南山》：「秉國之均，四方是維。」《新唐書．卷八四．李密傳》：「（王儒信）勸讓自為大冢宰，總秉眾務，收密權。」4.根據、依循。如：「秉公處理」。
逋,[動]1.逃走、逃亡。《說文解字．辵部》：「逋，亡也。」《左傳．僖公十五年》：「六年其逋，逃歸其國而棄其家。」明．徐弘祖《徐霞客遊記．卷一○上．滇遊日記十三》：「訊其來何以故？曰：『悉檀長老命來候相公者。』余知僕逋。」2.拖欠。如：「逋租」、「逋債」。元．周霆震〈埋怨樹〉詩：「朝旴械繫逮詞訟，夕敝鞭撲逋稅錢。」
卜,[名]1.古人灼燒龜甲或牛骨，辨視其裂紋以推斷事情吉凶的行為。如：「占卜」、「龜卜」。2.泛指一般預測吉凶的方法。如：「卜卦」。清．王漁洋〈灞橋寄內〉詩二首之二：「閨中若問金錢卜，秋雨秋風過灞橋。」3.掌管問卜之事的人。《楚辭．屈原．卜居》：「心煩慮亂，不知所從，往見太卜鄭詹尹。」《禮記．王制》：「凡執技以事上者，祝史射御醫卜及百工。」4.古劇角色名稱。飾演老婦人，如今戲中的老旦。如：「卜兒」。《永樂大典戲文三種．宦門子弟錯立身．第五出》：「（末卜商量介）萬事不由人計較，一生都是命安排。」5.姓。如春秋時衛國有卜商，清代有卜舜牟。6.二一四部首之一。[動]1.灼龜占卦。《左傳．僖公四年》：「初，晉獻公欲以驪姬為夫人，卜之不吉。」2.預料、事先推斷。如：「未卜先知」、「勝敗可卜」。《史記．卷六五．孫子吳起傳》：「試延以公主，起有留心則必受之，無留心則必辭矣。以此卜之。」3.選擇。如：「卜居」、「卜鄰」。《左傳．昭公三年》：「非宅是卜，唯鄰是卜。」宋．陸游〈呂從事夫人方氏墓誌銘〉：「以潦水齧墓趾，改卜於舊墓少東二百步。」
不,[副]1.否定詞。有不是、未、非等義。如：「不能」、「不法」、「不久」、「不容易」、「不好吃」、「拿不動」。2.與「就」連用，表示有所選擇的意思。如：「晚上回到家的消遣，不是看書，就是聽音樂。」[助]1.用於句末，表示疑問的語氣。如：「醫生，請問他的身體狀況好不？」2.用來加強語氣，往往與「好」字連用。如：「這齣戲好不精彩！」、「誤會澄清了，心情好不輕鬆！」3.置於句中，用來調整音節，沒有特殊含義。《詩經．小雅．車攻》：「徒御不驚，大庖不盈。」漢．毛亨．傳：「不驚，驚也；不盈，盈也。」《楚辭．宋玉．招魂》：「被文服纖，麗而不奇些。」漢．王逸．注：「不奇，奇也。」（「不」字在去聲字之前，變讀為陽平。）
步,[動]1.行、走，用腳走路。如：「散步」、「平步青雲」、「安步當車」。《書經．武成》：「王朝步自周，于征伐商。」《莊子．田子方》：「夫子步亦步，夫子趨亦趨。」2.追隨、跟從、仿效。如：「步其後塵」。《國語．周語下》：「目以處義，足以步目，今晉侯視遠而足高，目不在體，而足不步目，其心必異矣。」明．湯顯祖《南柯記》第四二齣：「步影尋蹤，皆如所夢。」3.推算。《文選．陸機．演連珠五○首之四七》：「是以儀天步晷，而脩短可量。」[名]1.腳步，走路時兩腳前後的距離。如：「小碎步」、「輕移蓮步」、「寸步不離」。《孟子．梁惠王上》：「或百步而後止，或五十步而後止。」《荀子．勸學》：「故不積蹞步，無以至千里。」2.量詞：(1) 古代計算長度的單位。歷代規定不一，或為六尺，或為六尺四寸。《新唐書．卷三七．地理志一》：「皇城長千九百一十五步，廣千二百步。」(2) 計算邁步次數的單位。如：「向前走五步。」(3) 計算事情步驟的單位。如：「做任何事第一步是要先打好基礎。」3.階段。表示程度。如：「走一步，算一步。」《紅樓夢》第六七回：「我任憑怎麼沒見世面，也到不了這步田地，因送的東西少，就生氣傷心。」4.所處的境況、境地。如：「少時不努力，才落到這一地步。」5.氣運、時運。如：「國步惟艱」。《詩經．小雅．白華》：「天步艱難，之子不猶。」6.碼頭，水邊泊船的地方。通「埠」。南朝梁．任昉《述異記．卷下》：「吳江中又有魚步、龜步，湘中有靈妃步。」唐．韓愈〈正議大夫尚書左丞孔公墓誌銘〉：「蕃舶之至泊步，有下碇之稅。」7.姓。如三國時吳國有步騭。
癹,[動]用腳將草踩平。《說文解字．癶部》：「癹，以足蹋夷艸。」[形]癹骫：形容枝條盤曲交錯。《漢書．卷五七．司馬相如傳上》：「崔錯癹骫，坑衡閜砢。」
叵,[副]1.「不可」二字的合音。如：「居心叵測」。《後漢書．卷七五．呂布傳》：「（呂）布目（劉）備曰：『大耳兒，最叵信！』」2.遂、故、於是。表原因。《後漢書．卷一三．隗囂傳》：「帝知其終不為用，叵欲討之。」
妃,[動]婚配。《左傳．文公十四年》：「子叔姬妃齊昭公，生舍。」唐．陸德明《經典釋文．卷一六．春秋左氏音義之二》：「妃，音配，本亦作配。」
配,[名]1.酒的色澤。《說文解字．酉部》：「配，酒色也。」2.夫妻。參見「配偶」條。3.妻子。如：「元配」、「繼配」。《詩經．大雅．皇矣》：「天立厥配，受命既固。」《鏡花緣》第一○回：「俟他年長，代為擇配，完其終身。」[動]1.媲美。《玉篇．酉部》：「配，匹也；媲也。」《楚辭．屈原．大招》：「德譽配天，萬民理只。」2.合、結合。《易經．繫辭上》：「廣大配天地，變通配四時。」《孟子．公孫丑上》：「其為氣也，配義與道，無是餒也。」3.男女結婚。如：「她姊妹倆，尚未婚配。」《詩經．衛風．竹竿》：「淇水浟浟，檜楫松舟」漢．毛亨．傳：「舟楫相配得水而行，男女相配得禮而備。」4.女子嫁人。如：「許配」。《三國演義》第六回：「丞相有女，欲配將軍之子。」《儒林外史》第三七回：「他家世兄賠嫁來的一個丫頭，他就配了姓嚴的管家了。」5.分發、安排。如：「支配」、「分配」、「配銷制度」。《舊唐書．卷九八．列傳．裴耀卿》：「耀卿躬自條理，科配得所。」6.充軍、流放罪人到遠方。如：「發配」、「刺配」。元．張國賓《合汗衫》第一折：「改做誤傷人命，脊杖了六十，迭配殺門島去了。」7.依適當的標準或比例，加以調和或拼製。如：「配藥」、「配色」、「配眼鏡」。8.補足缺失。如：「配貨」、「配零件」、「配塊玻璃」。9.陪襯、襯托。如：「紅花雖美，還需綠葉配。」10.使牲畜交合。如：「配種」、「交配」。[副]適合、夠得上。如：「只有他才配稱世界球王。」《紅樓夢》第四九回：「這一件衣裳也只配他穿。別人穿了，實在不配。」
轡,[名]1.控制牛、馬等牲口的韁繩。《禮記．曲禮上》：「執策分轡，驅之五步而立。」唐．孔穎達．正義：「轡，御馬索也。」《史記．卷七七．魏公子傳》：「市人皆觀公子執轡，從騎皆竊罵侯生。」2.指韁繩與套在牲口嘴中的銜勒。如：「鞍轡」、「轡頭」。
抔,[動]用雙手捧物。《廣韻．平聲．侯韻》：「抔，手掬物也。」如：「抔土」、「抔飲」。[名]量詞。計算雙手捧取物品的單位。相當於「捧」、「握」、「把」。《漢書．卷五○．張釋之傳》：「假令愚民取長陵一抔土，陛下且何以加其法虖？」唐．劉禹錫〈平蔡州〉詩三首之三：「妖童擢髮不足數，血汙城西一抔土。」
捊,[動]引聚、聚集。《詩經．大雅．綿》「捄之陾陾，度之薨薨」句下漢．鄭玄．箋：「捄，捊也。」唐．孔穎達．正義：「《說文》云：『捊，引取也。』故以捄為捊，言捊取壤土。」
槃,[名]1.古時用來盛水的木製托盤。《禮記．內則》：「少者奉槃，長者奉水，請沃盥。」2.盤子。同「盤」。如：「珠槃」、「夷槃」。宋．蘇軾〈日喻〉：「日之狀如銅槃。」宋．陸游〈除夜〉詩：「守歲全家夜不眠，杯槃狼籍向燈前。」3.古時一種似盤子的樂器。《詩經．衛風．考槃》：「考槃在澗，碩人之寬。」
盆,[名]1.底略小而口大，形狀像盤而較深的容器，用陶、木、金屬等製成。如：「臉盆」、「澡盆」。《莊子．至樂》：「莊子則方箕踞，鼓盆而歌。」2.形狀似盆，用來盛物的器具。如：「花盆」、「菜盆」。3.量詞。計算盆裝物的單位。如：「一盆花」、「兩盆水」。[動]浸染、浸淹。《禮記．祭義》：「及良日，夫人繅，三盆手。」
尨,[形]1.色雜不純。《左傳．閔公二年》：「衣之尨服，遠其躬也。」2.指眉髮斑白。《文選．張衡．思玄賦》：「尉尨眉而郎潛兮，逮三葉而遘武。」3.雜亂。如：「語言尨雜」。4.巨大。同「龐」。如：「尨然」。
龐,[形]1.高大。如：「龐大」。唐。柳宗元〈三戒．黔之驢〉：「形之龐也類有德，聲之宏也類有能。」2.雜亂。《舊唐書．卷一三一．李勉傳》：「汴州水陸所湊，邑居龐雜，號為難理。」[名]1.面貌、臉蛋。如：「面龐」、「臉龐」。元．王實甫《西廂記．第二本．第二折》：「衣冠濟楚龐兒俊，可知道引動俺鶯鶯。」2.姓。如戰國時魏國有龐涓。
澎,參見「澎湃」、「澎濞」等條。
朋,[名]1.友人。如：「親朋好友」、「朋友」。2.量詞。古代計算貨幣的單位。《詩經．小雅．菁菁者莪》：「既見君子，錫我百朋。」3.姓。如宋代有朋山、朋水。[動]1.集結。如：「朋比為奸」。宋．劉克莊〈鵲橋仙．閣中芸冷〉詞：「不交平勃，不遊田竇，也不朋他牛李。」2.相比、相類。《詩經．唐風．椒聊》：「彼其之子，碩大無朋。」
倗,[動]輔助。《說文解字．人部》：「倗，輔也。」[名]姓。如西漢時有倗宗。
逢,[狀]參見「逢逢」條。[名]姓。如夏朝有逢蒙。
彭,[名]1.地名。春秋鄭邑。故址約在今大陸地區河南省中牟縣境內。2.姓。如清代有彭孫貽。
貔,[名]一種猛獸。似虎，毛灰白色。《書經．牧誓》：「如虎如貔。」漢．孔安國．傳：「貔，執夷，虎屬也。」
皮,[名]1.動植物體表的一層組織。如：「獸皮」、「皮開肉綻」、「樹皮」。2.物的表面。唐．韓愈〈題于賓客莊〉詩：「榆莢車前蓋地皮，薔薇蘸水筍穿籬。」3.很薄的東西。如：「鐵皮」、「粉皮」、「豆腐皮」。4.包裝東西的外皮，以為保護或美觀用。如：「封皮」、「書皮」。5.姓。如唐代有皮日休。6.二一四部首之一。[形]1.皮製的。如：「皮鞋」、「皮箱」、「皮筏」。2.厚顏、沒有羞恥心。《喻世明言．卷二三．張舜美燈宵得麗女》：「訕語時，口要緊；刮涎處，臉須皮。」3.性情頑劣不聽話。如：「這孩子好皮。」4.有彈性的。如：「皮球」、「皮蛋」。
陴,[名]城上的短牆。《文選．丘遲．與陳伯之書》：「撫絃登陴，豈不愴悢。」
羆,[名]一種大熊。毛皮呈黃白雜文。能爬樹、游泳，具強大力氣。《爾雅．釋獸》：「羆，如熊，黃白文。」晉．郭璞．注：「似熊而長頭高腳，猛憨多力，能拔樹木。」
疋,[名]量詞。計算布帛類紡織品的單位。同「匹」。如：「兩疋布」。
